City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,talnakh,69.4865,88.3972,69.21,66,9,5.01,RU,1690405425
1,navoiy,40.0844,65.3792,81.88,18,0,4.61,UZ,1690405653
2,chonchi,-42.6128,-73.8092,48.11,93,100,0.92,CL,1690405654
3,yellowknife,62.456,-114.3525,75.6,30,1,11.48,CA,1690405654
4,port-aux-francais,-49.35,70.2167,41.31,77,84,42.48,TF,1690405655
5,utrik,11.2278,169.8474,82.29,82,100,18.3,MH,1690405655
6,longyearbyen,78.2186,15.6401,47.23,74,10,2.37,SJ,1690405656
7,spanish springs,39.6491,-119.7074,97.75,11,0,20.71,US,1690405656
8,fale old settlement,-9.3852,-171.2468,83.03,73,14,18.97,TK,1690405656
9,keflavik,64.0049,-22.5624,55.83,76,75,8.05,IS,1690405657
10,avarua,-21.2078,-159.775,73.45,73,100,2.3,CK,1690405657
11,college,64.8569,-147.8028,79.2,64,75,1.01,US,1690405657
12,puerto natales,-51.7236,-72.4875,32.11,91,100,4.09,CL,1690405411
13,nuuk,64.1835,-51.7216,41.61,93,100,13.8,GL,1690405658
14,qui nhon,13.7667,109.2333,78.84,84,100,6.73,VN,1690405659
15,grytviken,-54.2811,-36.5092,31.62,98,100,10.98,GS,1690405659
16,deniliquin,-35.5333,144.9667,40.75,91,0,7.18,AU,1690405659
17,albany,42.6001,-73.9662,87.24,61,72,4.0,US,1690405519
18,kirakira,-10.4544,161.9205,79.16,89,84,10.4,SB,1690405538
19,hermanus,-34.4187,19.2345,47.8,86,13,8.59,ZA,1690405415
20,hohhot,40.8106,111.6522,66.49,77,0,8.95,CN,1690405662
21,ancud,-41.8697,-73.8203,47.98,81,100,2.62,CL,1690405662
22,mana,5.6592,-53.7767,81.37,81,18,8.68,GF,1690405533
23,lihue,21.9789,-159.3672,81.64,72,67,14.45,US,1690405454
24,touros,-5.1989,-35.4608,77.7,79,11,15.84,BR,1690405663
25,west island,-12.1568,96.8225,75.18,83,75,24.16,CC,1690405663
26,novoishimskiy,53.1981,66.7694,61.92,87,5,1.57,KZ,1690405664
27,port elizabeth,-33.918,25.5701,61.39,77,100,9.26,ZA,1690405664
28,carhuaz,-9.2819,-77.6447,68.63,40,33,7.63,PE,1690405664
29,holualoa,19.6228,-155.9522,81.55,81,40,11.5,US,1690405664
30,kingston,17.997,-76.7936,92.25,73,20,9.22,JM,1690405540
31,papatowai,-46.5619,169.4708,41.63,89,100,28.61,NZ,1690405665
32,son servera,39.6207,3.3601,73.81,74,2,8.48,ES,1690405665
33,aasiaat,68.7098,-52.8699,38.88,89,32,8.7,GL,1690405666
34,enewetak,11.3474,162.3373,82.74,76,89,14.41,MH,1690405666
35,tamanrasset,22.785,5.5228,89.51,9,0,6.91,DZ,1690405666
36,al kharijah,25.4514,30.5464,92.14,17,100,5.93,EG,1690405643
37,penafiel,41.2084,-8.2829,63.86,75,0,2.46,PT,1690405667
38,bubaque,11.2833,-15.8333,81.57,82,83,12.88,GW,1690405667
39,lorengau,-2.0226,147.2712,82.11,79,78,12.68,PG,1690405668
40,nar'yan-mar,67.6713,53.087,60.87,71,66,3.49,RU,1690405668
41,bredasdorp,-34.5322,20.0403,49.51,92,83,5.88,ZA,1690405668
42,az zulfi,26.2995,44.8154,93.56,9,74,14.32,SA,1690405669
43,bethel,41.3712,-73.414,88.93,62,40,6.91,US,1690405669
44,chos malal,-37.3781,-70.2709,46.67,46,100,0.4,AR,1690405669
45,huetamo de nunez,18.5833,-100.8833,91.33,48,90,2.84,MX,1690405669
46,kapa'a,22.0752,-159.319,84.52,77,40,14.97,US,1690405670
47,edinburgh of the seven seas,-37.0676,-12.3116,50.02,67,75,20.45,SH,1690405670
48,nueva gerona,21.8833,-82.8,89.85,58,9,12.39,CU,1690405670
49,port lincoln,-34.7333,135.8667,57.15,56,35,17.38,AU,1690405670
50,tura,25.5198,90.2201,74.7,98,100,6.67,IN,1690405671
51,howrah,22.5892,88.3103,82.4,94,20,4.61,IN,1690405671
